
 ,time,x,y,z
, 25.734, 0.02, 0.43, 0.97
, 25.820, 0.01, 0.41, 0.99
, 25.864, 0.01, 0.42, 0.94
, 25.962, 0.02, 0.43, 0.98
, 25.964, 0.02, 0.43, 0.97
, 26.001, 0.02, 0.44, 0.96
, 26.088, 0.01, 0.44, 0.99
, 26.131, 0.01, 0.44, 0.99
, 26.133, 0.02, 0.44, 0.98
, 26.217, 0.01, 0.44, 0.98
, 26.278, 0.00, 0.43, 0.98
, 26.310, 0.00, 0.43, 0.95
, 26.352, 0.00, 0.43, 0.97
, 26.461, 0.00, 0.43, 0.98
, 26.462, 0.00, 0.44, 0.98
, 26.538, 0.01, 0.43, 0.99
, 26.539, 0.01, 0.44, 0.98
, 26.569, 0.00, 0.44, 0.97
, 26.645, 0.01, 0.44, 0.99
, 26.703, 0.02, 0.44, 0.96
, 26.726, 0.01, 0.44, 0.98
, 26.771, 0.01, 0.43, 0.97
, 26.851, 0.01, 0.44, 0.97
, 26.901, 0.01, 0.44, 1.00
, 27.044, 0.01, 0.44, 0.99
, 27.048, 0.01, 0.44, 0.99
, 27.052, 0.02, 0.44, 0.98
, 27.093, 0.01, 0.43, 0.97
, 27.146, 0.01, 0.44, 0.97
, 27.147, 0.01, 0.43, 0.96
, 27.202, 0.00, 0.43, 0.99
, 27.259, 0.01, 0.43, 0.98
, 27.327, 0.01, 0.43, 0.97
, 27.328, 0.01, 0.43, 0.98
, 27.386, 0.02, 0.43, 0.98
, 27.453, 0.01, 0.44, 0.98
, 27.564, 0.01, 0.44, 0.97
, 27.566, 0.01, 0.44, 0.98
, 27.581, 0.01, 0.44, 0.99
, 27.692, 0.02, 0.43, 0.97
, 27.702, 0.01, 0.42, 0.97
, 27.752, 0.01, 0.42, 0.98
, 27.767, 0.01, 0.42, 0.99
, 27.878, 0.01, 0.42, 0.99
, 27.924, -0.00, 0.43, 0.97
, 27.934, 0.01, 0.42, 0.98
, 27.992, 0.01, 0.42, 0.98
, 28.057, 0.01, 0.42, 0.98
, 28.108, 0.01, 0.42, 0.98
, 28.163, 0.01, 0.42, 0.98
, 28.164, 0.02, 0.42, 0.98
, 28.247, 0.01, 0.43, 0.97
, 28.306, 0.02, 0.43, 1.00
, 28.344, 0.01, 0.43, 0.97
, 28.345, 0.01, 0.43, 0.98
, 28.404, 0.03, 0.42, 0.97
, 28.470, 0.01, 0.43, 0.97
