
time,altitude,x,y,z
48.85,0.544709473,-8.967228027,29.10857085,-10.45534268
48.9,-1.361773682,0.734240723,42.50834807,2.853301123
48.95,-1.906483154,7.025036865,36.6033615,-0.373036768
49,-0.544709473,-5.480762695,30.31985015,-4.405959131
49.05,-1.906483154,-11.69576611,35.77060698,-6.583737207
49.1,-1.089418945,-10.71046069,34.86214751,-8.196906152
49.15,-0.817064209,5.888145996,42.05411834,-1.582913477
49.2,-1.361773682,17.02967651,44.47667693,0.917498389
49.25,-1.906483154,-19.57820947,38.95021514,14.95206821
49.3,-0.544709473,-37.99584155,23.96063384,-14.56892349
49.35,-3.540611572,-4.268079102,55.68101042,10.19321982
49.4,0,14.37693115,21.84089507,-8.519539941
49.45,-1.634128418,5.509182373,41.52418364,4.547128516
49.5,-0.817064209,-38.07163428,21.53807524,-10.21336733
49.55,-1.906483154,1.871131592,40.23719939,9.951244482
49.6,-1.361773682,-0.857406494,34.7107376,-5.696494287
49.65,-1.361773682,-15.78857324,27.97299651,-5.61583584
49.7,-1.361773682,2.856437012,33.95368804,-5.293202051
49.75,-0.544709473,11.64839307,33.72657317,-0.695670557
49.8,-1.906483154,-17.91076953,29.86562041,3.659885596
49.85,-1.361773682,-10.17991162,35.01355742,3.498568701
49.9,-1.906483154,-3.434359131,35.16496733,0.030255469
49.95,-0.817064209,1.264789795,27.06453704,-3.276740869
50,-0.272354736,-6.162897217,30.24414519,2.450008887
50.05,0.272354736,-2.828017334,23.27928923,-4.567276025
50.1,0.272354736,-4.343871826,21.31096038,-1.986205713
50.15,1.361773682,-4.040700928,16.6172531,-11.1812687
50.2,0.817064209,0.20369165,20.02397612,0.756181494
50.25,2.178837891,-1.918504639,18.81269683,-6.745054102
50.3,1.634128418,-5.177591797,17.07148284,-5.535177393
50.35,1.361773682,-1.084784668,15.55738372,-8.84217373
50.4,1.361773682,0.279484375,21.6137802,-4.889909814
50.45,1.634128418,1.264789795,18.66128691,-3.84135
50.5,1.634128418,3.765949707,18.509877,-7.309663232
50.55,2.9959021,-2.145882813,14.87603911,-7.954930811
50.6,1.361773682,-1.994297363,19.64545134,-9.487441309
50.65,0.817064209,7.328207764,22.2951248,-10.45534268
50.7,1.361773682,3.538571533,21.00814055,-4.809251367
50.75,1.361773682,-1.236370117,19.41833647,-4.244642236
50.8,2.178837891,4.069120605,19.94827117,-0.050402979
50.85,2.9959021,0.506862549,15.4059738,-3.276740869
50.9,3.540611572,-4.950213623,12.22636565,-6.825712549
50.95,3.268256836,-1.236370117,13.43764495,-2.550814844
51,3.812966309,1.643753418,14.04328459,-1.582913477
51.05,4.085321045,-2.221675537,11.16649626,-2.550814844
51.1,4.630030518,1.037411621,7.22983855,-6.664395654
51.15,5.991804199,1.037411621,7.684068286,-3.276740869
51.2,6.264158936,-1.539541016,6.169969165,-2.95410708
51.25,7.081223145,-0.326857422,4.731575,-1.663571924
51.3,7.353577881,-6.087104492,0.870622241,-6.180444971
51.35,7.353577881,-8.891435303,-0.719181836,-7.470980127
51.4,7.081223145,-6.162897217,-1.324821484,-9.971391992
51.45,6.808868408,-3.282773682,-0.870591748,-11.01995181
51.5,7.353577881,-3.055395508,0.037867725,-6.664395654
51.55,7.353577881,-2.828017334,-0.794886792,-8.519539941
51.6,7.898287354,-2.524846436,-0.946296704,-6.745054102
51.65,7.898287354,-1.918504639,0.189277637,-8.2775646
51.7,7.353577881,-1.387955566,2.23331145,-8.680856836
51.75,7.625932617,3.917535156,1.627671802,-7.470980127
51.8,8.987706299,6.418695068,-2.081871045,-8.116247705
51.85,9.804770508,-0.099479248,-1.249116528,-10.69731802
51.9,8.442996826,-0.857406494,0.189277637,-8.196906152
51.95,8.17064209,-3.055395508,0.340687549,-8.2775646
52,8.442996826,-0.933199219,-0.64347688,-10.29402578
52.05,8.442996826,0.20369165,-1.249116528,-10.21336733
52.1,8.987706299,1.264789795,0.113572681,-10.37468423
52.15,8.987706299,1.871131592,3.823115527,-10.61665957
52.2,8.987706299,0.3552771,3.520295703,-9.406782861
52.25,7.898287354,-1.387955566,-0.946296704,-9.16480752
52.3,8.17064209,-2.524846436,0.264982593,-10.45534268
52.35,7.353577881,-2.60063916,7.684068286,-10.21336733
52.4,8.442996826,-2.524846436,7.759773242,-9.003490625
52.45,8.442996826,0.279484375,6.699903857,-11.10061025
52.5,8.442996826,0.3552771,6.775608813,-11.66521938
52.55,7.353577881,-0.478442871,8.441117847,-11.26192715
52.6,7.081223145,1.567960693,11.01508635,-8.116247705
52.65,8.17064209,2.325887939,5.942854297,-6.422420313
52.7,7.898287354,-6.162897217,4.504460132,-12.47180386
52.75,6.808868408,-9.649362549,9.652397144,-8.438881494
52.8,6.808868408,-1.387955566,10.10662688,-8.922832178
52.85,5.447094727,9.374611328,14.95174407,-1.502255029
52.9,5.719449463,26.42797437,8.441117847,-1.17962124
52.95,7.081223145,5.509182373,11.77213591,-9.890733545
53,5.17473999,-0.554235596,14.80033416,-17.23065225
53.05,3.812966309,7.782964111,17.52571257,-11.3425856
53.1,2.451192627,11.87577124,14.34610442,-7.229004785
53.15,2.451192627,7.555585938,11.99925078,-10.69731802
53.2,2.451192627,1.34058252,14.87603911,-10.69731802
