
 ,time,x,y,z
, 15.887, -0.38, 0.85, -0.18
, 15.907, -0.38, 0.85, -0.17
, 15.911, -0.37, 0.84, -0.15
, 15.935, -0.37, 0.85, -0.18
, 15.948, -0.37, 0.88, -0.16
, 15.967, -0.37, 0.86, -0.17
, 15.986, -0.37, 0.83, -0.18
, 16.008, -0.38, 0.83, -0.18
, 16.027, -0.37, 0.84, -0.17
, 16.056, -0.37, 0.85, -0.16
, 16.071, -0.37, 0.84, -0.18
, 16.090, -0.38, 0.85, -0.16
, 16.116, -0.37, 0.85, -0.17
, 16.121, -0.38, 0.85, -0.15
, 16.127, -0.37, 0.85, -0.15
, 16.150, -0.37, 0.85, -0.18
, 16.176, -0.36, 0.87, -0.20
, 16.191, -0.36, 0.87, -0.18
, 16.214, -0.38, 0.86, -0.18
, 16.227, -0.37, 0.86, -0.15
, 16.251, -0.36, 0.86, -0.19
, 16.272, -0.39, 0.85, -0.18
, 16.295, -0.37, 0.84, -0.17
, 16.311, -0.37, 0.85, -0.18
, 16.315, -0.37, 0.85, -0.18
, 16.336, -0.37, 0.85, -0.18
, 16.353, -0.38, 0.85, -0.18
, 16.374, -0.37, 0.86, -0.18
, 16.397, -0.36, 0.86, -0.18
, 16.410, -0.36, 0.85, -0.19
, 16.431, -0.36, 0.84, -0.18
, 16.456, -0.37, 0.84, -0.16
, 16.473, -0.37, 0.84, -0.17
, 16.494, -0.39, 0.84, -0.22
, 16.511, -0.38, 0.84, -0.18
, 16.515, -0.44, 0.83, -0.18
, 16.531, -0.41, 0.84, -0.13
, 16.557, -0.38, 0.83, -0.16
, 16.572, -0.38, 0.83, -0.17
, 16.591, -0.39, 0.85, -0.18
, 16.614, -0.40, 0.86, -0.17
, 16.631, -0.39, 0.86, -0.21
, 16.657, -0.38, 0.85, -0.14
, 16.672, -0.40, 0.82, -0.11
, 16.692, -0.39, 0.82, -0.13
, 16.713, -0.38, 0.83, -0.11
, 16.717, -0.39, 0.84, -0.15
, 16.731, -0.38, 0.81, -0.12
, 16.752, -0.38, 0.84, -0.17
, 16.775, -0.36, 0.86, -0.11
, 16.797, -0.39, 0.85, -0.15
, 16.819, -0.41, 0.84, -0.12
, 16.833, -0.42, 0.85, -0.12
, 16.852, -0.38, 0.85, -0.09
, 16.875, -0.41, 0.89, -0.14
, 16.890, -0.42, 0.92, -0.19
, 16.911, -0.40, 0.86, -0.14
, 16.913, -0.42, 0.90, -0.19
, 16.936, -0.38, 0.86, -0.09
, 16.951, -0.38, 0.83, -0.08
, 16.971, -0.41, 0.81, -0.10
, 16.991, -0.41, 0.83, -0.13
, 17.011, -0.37, 0.85, -0.11
, 17.031, -0.39, 0.84, -0.15
, 17.060, -0.40, 0.86, -0.18
, 17.074, -0.37, 0.85, -0.16
, 17.093, -0.38, 0.82, -0.16
, 17.117, -0.39, 0.84, -0.14
, 17.120, -0.39, 0.83, -0.18
, 17.134, -0.39, 0.87, -0.22
, 17.155, -0.39, 0.86, -0.18
, 17.183, -0.41, 0.85, -0.18
, 17.197, -0.40, 0.85, -0.18
, 17.218, -0.38, 0.84, -0.16
, 17.236, -0.39, 0.82, -0.17
, 17.263, -0.38, 0.83, -0.18
, 17.277, -0.39, 0.84, -0.17
, 17.297, -0.38, 0.83, -0.14
, 17.326, -0.39, 0.84, -0.17
, 17.330, -0.39, 0.83, -0.13
, 17.336, -0.39, 0.83, -0.13
, 17.359, -0.37, 0.83, -0.15
, 17.383, -0.41, 0.86, -0.17
, 17.398, -0.40, 0.90, -0.25
, 17.418, -0.40, 0.82, -0.17
, 17.446, -0.40, 0.83, -0.15
, 17.457, -0.40, 0.84, -0.17
, 17.478, -0.39, 0.84, -0.18
, 17.498, -0.39, 0.85, -0.18
, 17.519, -0.39, 0.84, -0.17
, 17.523, -0.40, 0.85, -0.19
, 17.545, -0.38, 0.85, -0.18
, 17.557, -0.39, 0.83, -0.15
, 17.578, -0.38, 0.84, -0.16
, 17.597, -0.39, 0.84, -0.18
, 17.622, -0.39, 0.84, -0.18
, 17.647, -0.40, 0.84, -0.18
, 17.658, -0.40, 0.84, -0.18
, 17.681, -0.39, 0.85, -0.17
, 17.699, -0.39, 0.84, -0.17
, 17.726, -0.39, 0.84, -0.17
, 17.732, -0.38, 0.83, -0.16
, 17.738, -0.38, 0.84, -0.17
, 17.761, -0.39, 0.84, -0.17
, 17.780, -0.39, 0.84, -0.17
, 18.033, -0.38, 0.83, -0.17
, 18.091, -0.38, 0.83, -0.13
, 18.157, -0.40, 0.83, -0.16
, 18.220, -0.39, 0.83, -0.22
, 18.283, -0.39, 0.84, -0.24
, 18.327, -0.39, 0.83, -0.19
, 18.343, -0.39, 0.83, -0.20
, 18.408, -0.39, 0.83, -0.21
, 18.471, -0.39, 0.83, -0.20
, 18.526, -0.39, 0.83, -0.20
, 18.536, -0.39, 0.83, -0.22
, 18.600, -0.40, 0.83, -0.24
, 18.666, -0.39, 0.83, -0.22
, 18.730, -0.39, 0.83, -0.21
, 18.735, -0.38, 0.84, -0.15
, 18.789, -0.39, 0.84, -0.12
, 18.856, -0.39, 0.84, -0.17
, 18.919, -0.38, 0.84, -0.15
, 18.927, -0.39, 0.84, -0.15
, 18.988, -0.39, 0.85, -0.17
, 19.045, -0.39, 0.84, -0.17
, 19.104, -0.39, 0.85, -0.17
, 19.126, -0.39, 0.85, -0.17
, 19.169, -0.39, 0.84, -0.16
, 19.241, -0.38, 0.85, -0.18
, 19.297, -0.39, 0.84, -0.17
, 19.334, -0.39, 0.84, -0.17
, 19.366, -0.39, 0.84, -0.18
, 19.423, -0.39, 0.84, -0.17
, 19.491, -0.38, 0.85, -0.18
, 19.541, -0.38, 0.84, -0.18
, 19.554, -0.38, 0.84, -0.18
, 19.616, -0.39, 0.83, -0.14
, 19.685, -0.39, 0.84, -0.17
, 19.738, -0.39, 0.84, -0.18
, 19.746, -0.38, 0.86, -0.21
, 19.811, -0.39, 0.84, -0.14
, 19.877, -0.39, 0.85, -0.18
, 19.941, -0.38, 0.85, -0.16
, 19.947, -0.38, 0.85, -0.17
, 19.997, -0.38, 0.84, -0.17
, 20.063, -0.37, 0.85, -0.17
, 20.126, -0.38, 0.85, -0.18
, 20.136, -0.38, 0.85, -0.17
, 20.195, -0.37, 0.86, -0.19
, 20.259, -0.38, 0.84, -0.10
, 20.316, -0.37, 0.86, -0.11
, 20.338, -0.37, 0.86, -0.13
, 20.386, -0.38, 0.85, -0.11
, 20.446, -0.38, 0.86, -0.15
, 20.508, -0.37, 0.87, -0.19
, 20.546, -0.38, 0.86, -0.15
, 20.570, -0.38, 0.84, -0.10
, 20.636, -0.37, 0.86, -0.16
, 20.705, -0.38, 0.85, -0.15
, 20.750, -0.38, 0.85, -0.13
, 20.760, -0.37, 0.85, -0.14
, 20.825, -0.39, 0.85, -0.14
, 20.889, -0.39, 0.85, -0.14
, 20.951, -0.38, 0.85, -0.14
, 20.957, -0.35, 0.86, -0.14
, 21.024, -0.39, 0.85, -0.15
, 21.081, -0.37, 0.85, -0.14
, 21.150, -0.37, 0.85, -0.15
, 21.156, -0.36, 0.87, -0.16
, 21.206, -0.37, 0.85, -0.11
, 21.270, -0.38, 0.86, -0.15
, 21.335, -0.37, 0.87, -0.16
, 21.344, -0.37, 0.86, -0.13
, 21.403, -0.37, 0.86, -0.11
, 21.468, -0.38, 0.86, -0.14
, 21.525, -0.37, 0.86, -0.13
, 21.546, -0.37, 0.86, -0.14
, 21.595, -0.38, 0.85, -0.14
